"ÖGK-LS","Monat.Jahr","Postal","OnlineMeine","OnlineWAH"
"ÖGK-S","Okt.23","24.0","24.0","0.0"
"ÖGK-S","Nov.23","18.0","18.0","0.0"
"ÖGK-S","Dez.23","23.0","23.0","0.0"
"ÖGK-S","Durchschnitt","32.0","31.0","0.0"
"ÖGK-ST","Jän.23","","",""
"ÖGK-ST","Feb.23","","",""
"ÖGK-ST","Mär.23","","",""
"ÖGK-ST","Apr.23","","",""
"ÖGK-ST","Mai.23","86.0","86.0","14.0"
"ÖGK-ST","Jun.23","86.0","86.0","14.0"
"ÖGK-ST","Jul.23","86.0","86.0","14.0"
"ÖGK-ST","Aug.23","98.0","98.0","14.0"
"ÖGK-ST","Sep.23","100.0","100.0","14.0"
"ÖGK-ST","Okt.23","113.0","113.0","14.0"
"ÖGK-ST","Nov.23","126.0","126.0","14.0"
"ÖGK-ST","Dez.23","147.0","147.0","15.0"
"ÖGK-ST","Durchschnitt","105.0","105.0","14.0"
"ÖGK-T","Jän.23","","",""
"ÖGK-T","Feb.23","","",""
"ÖGK-T","Mär.23","","",""
"ÖGK-T","Apr.23","","",""
"ÖGK-T","Mai.23","24.0","4.0","4.0"
"ÖGK-T","Jun.23","27.0","4.0","4.0"
"ÖGK-T","Jul.23","25.0","4.0","4.0"
"ÖGK-T","Aug.23","24.0","4.0","4.0"
"ÖGK-T","Sep.23","23.0","4.0","4.0"
"ÖGK-T","Okt.23","25.0","25.0","4.0"
"ÖGK-T","Nov.23","30.0","30.0","4.0"
"ÖGK-T","Dez.23","28.0","28.0","5.0"
"ÖGK-T","Durchschnitt","26.0","13.0","4.0"
"ÖGK-V","Jän.23","","",""
"ÖGK-V","Feb.23","","",""
"ÖGK-V","Mär.23","","",""
"ÖGK-V","Apr.23","","",""
"ÖGK-V","Mai.23","14.0","14.0",""
"ÖGK-V","Jun.23","14.0","14.0",""
"ÖGK-V","Jul.23","14.0","14.0",""
"ÖGK-V","Aug.23","14.0","14.0",""
"ÖGK-V","Sep.23","14.0","14.0",""
"ÖGK-V","Okt.23","14.0","14.0",""
"ÖGK-V","Nov.23","14.0","14.0",""
"ÖGK-V","Dez.23","14.0","14.0",""
"ÖGK-V","Durchschnitt","14.0","14.0",""
"ÖGK-W","Jän.23","","",""
"ÖGK-W","Feb.23","","",""
"ÖGK-W","Mär.23","","",""
"ÖGK-W","Apr.23","","",""
"ÖGK-W","Mai.23","62.0","55.0",""
"ÖGK-W","Jun.23","73.0","62.0",""
"ÖGK-W","Jul.23","80.0","69.0","17.0"
"ÖGK-W","Aug.23","81.0","70.0","34.0"
"ÖGK-W","Sep.23","87.0","63.0","25.0"
"ÖGK-W","Okt.23","87.0","58.0","21.0"
"ÖGK-W","Nov.23","70.0","70.0","19.0"
"ÖGK-W","Dez.23","75.0","75.0","28.0"
"ÖGK-W","Durchschnitt","77.0","65.0","24.0"
