"ÖGK-LS","Monat.Jahr","Postal","OnlineMeine"
"ÖGK-T","Dez.21","22","1"
"ÖGK-T","Durchschnitt 21","9","1"
"ÖGK-T","Jän.23","61","8"
"ÖGK-T","Feb.23","60","21"
"ÖGK-T","Mär.23","58","21"
"ÖGK-T","Apr.23","61","21"
"ÖGK-T","Mai.23","63","28"
"ÖGK-T","Durchschnitt 23","61","20"
"ÖGK-V","Jän.22","21","21"
"ÖGK-V","Feb.22","21","21"
"ÖGK-V","Mär.22","21","21"
"ÖGK-V","Apr.22","35","35"
"ÖGK-V","Mai.22","28","28"
"ÖGK-V","Jun.22","35","35"
"ÖGK-V","Jul.22","49","49"
"ÖGK-V","Aug.22","49","49"
"ÖGK-V","Sep.22","42","42"
"ÖGK-V","Okt.22","45","45"
"ÖGK-V","Nov.22","38","38"
"ÖGK-V","Dez.22","42","42"
"ÖGK-V","Durchschnitt 22","36","36"
"ÖGK-V","Jän.21","21","21"
"ÖGK-V","Feb.21","20","20"
"ÖGK-V","Mär.21","21","21"
"ÖGK-V","Apr.21","21","21"
"ÖGK-V","Mai.21","42","42"
"ÖGK-V","Jun.21","21","21"
"ÖGK-V","Jul.21","21","21"
"ÖGK-V","Aug.21","21","21"
"ÖGK-V","Sep.21","21","21"
"ÖGK-V","Okt.21","21","21"
"ÖGK-V","Nov.21","21","21"
"ÖGK-V","Dez.21","21","21"
"ÖGK-V","Durchschnitt 21","23","23"
"ÖGK-V","Jän.23","42","42"
"ÖGK-V","Feb.23","56","56"
"ÖGK-V","Mär.23","70","70"
"ÖGK-V","Apr.23","77","77"
"ÖGK-V","Mai.23","77","77"
"ÖGK-V","Durchschnitt 23","64","64"
"ÖGK-W","Jän.22","18","18"
"ÖGK-W","Feb.22","14","13"
"ÖGK-W","Mär.22","14","15"
"ÖGK-W","Apr.22","12","12"
"ÖGK-W","Mai.22","18","18"
"ÖGK-W","Jun.22","26","23"
"ÖGK-W","Jul.22","32","33"
"ÖGK-W","Aug.22","38","39"
"ÖGK-W","Sep.22","34","38"
"ÖGK-W","Okt.22","33","32"
"ÖGK-W","Nov.22","35","37"
"ÖGK-W","Dez.22","46","42"
"ÖGK-W","Durchschnitt 22","27","27"
"ÖGK-W","Jän.21","161","9"
"ÖGK-W","Feb.21","147","14"
"ÖGK-W","Mär.21","112","28"
"ÖGK-W","Apr.21","87","31"
"ÖGK-W","Mai.21","60","35"
"ÖGK-W","Jun.21","55","39"
"ÖGK-W","Jul.21","47","35"
"ÖGK-W","Aug.21","48","20"
"ÖGK-W","Sep.21","10","11"
"ÖGK-W","Okt.21","10","7"
"ÖGK-W","Nov.21","6","3"
"ÖGK-W","Dez.21","14","12"
"ÖGK-W","Durchschnitt 21","63","20"
"ÖGK-W","Jän.23","50","48"
"ÖGK-W","Feb.23","48","48"
"ÖGK-W","Mär.23","48","42"
"ÖGK-W","Apr.23","54","46"
"ÖGK-W","Mai.23","52","55"
"ÖGK-W","Durchschnitt 23","50","48"
